COD;CCAA;Tipo_Vivienda;Metrica;Anyo;FK_Periodo;Fecha_Fecha;Valor;Variacion_Interanual_IPV
IPV915;Asturias, Principado de;Vivienda segunda mano;Variación anual;2007;22;2007-09-30;4,8;108,6957
IPV915;Asturias, Principado de;Vivienda segunda mano;Variación anual;2007;21;2007-06-30;9,0;87,5
IPV915;Asturias, Principado de;Vivienda segunda mano;Variación anual;2007;20;2007-03-31;12,1;34,4444
IPV915;Asturias, Principado de;Vivienda segunda mano;Variación anual;2007;19;2006-12-31;16,4;35,5372
IPV914;Asturias, Principado de;Vivienda segunda mano;Variación en lo que va de año;2007;22;2007-09-30;4,8;-70,7317
IPV914;Asturias, Principado de;Vivienda segunda mano;Variación en lo que va de año;2007;21;2007-06-30;7,2;50,0
IPV914;Asturias, Principado de;Vivienda segunda mano;Variación en lo que va de año;2007;20;2007-03-31;6,0;-16,6667
IPV914;Asturias, Principado de;Vivienda segunda mano;Variación en lo que va de año;2007;19;2006-12-31;2,3;-61,6667
IPV757;Balears, Illes;General;Índice;2007;22;2007-09-30;141,16;6037,3913
IPV757;Balears, Illes;General;Índice;2007;21;2007-06-30;141,55;0,2763
IPV757;Balears, Illes;General;Índice;2007;20;2007-03-31;138,93;-1,8509
IPV757;Balears, Illes;General;Índice;2007;19;2006-12-31;134,28;-3,347
IPV913;Balears, Illes;General;Variación trimestral;2007;22;2007-09-30;-0,3;-100,2234
IPV913;Balears, Illes;General;Variación trimestral;2007;21;2007-06-30;1,9;-733,3333
IPV913;Balears, Illes;General;Variación trimestral;2007;20;2007-03-31;3,5;84,2105
IPV913;Balears, Illes;General;Variación trimestral;2007;19;2006-12-31;2,0;-42,8571
IPV912;Balears, Illes;General;Variación anual;2007;22;2007-09-30;7,2;260,0
IPV912;Balears, Illes;General;Variación anual;2007;21;2007-06-30;10,1;40,2778
IPV912;Balears, Illes;General;Variación anual;2007;20;2007-03-31;10,9;7,9208
IPV912;Balears, Illes;General;Variación anual;2007;19;2006-12-31;13,6;24,7706
IPV911;Balears, Illes;General;Variación en lo que va de año;2007;22;2007-09-30;7,2;-47,0588
IPV911;Balears, Illes;General;Variación en lo que va de año;2007;21;2007-06-30;7,5;4,1667
IPV911;Balears, Illes;General;Variación en lo que va de año;2007;20;2007-03-31;5,5;-26,6667
IPV911;Balears, Illes;General;Variación en lo que va de año;2007;19;2006-12-31;2,0;-63,6364
IPV756;Balears, Illes;Vivienda nueva;Índice;2007;22;2007-09-30;120,98;5949,0
IPV756;Balears, Illes;Vivienda nueva;Índice;2007;21;2007-06-30;119,0;-1,6366
IPV756;Balears, Illes;Vivienda nueva;Índice;2007;20;2007-03-31;115,1;-3,2773
IPV756;Balears, Illes;Vivienda nueva;Índice;2007;19;2006-12-31;110,72;-3,8054
IPV910;Balears, Illes;Vivienda nueva;Variación trimestral;2007;22;2007-09-30;1,7;-98,4646
IPV910;Balears, Illes;Vivienda nueva;Variación trimestral;2007;21;2007-06-30;3,4;100,0
IPV910;Balears, Illes;Vivienda nueva;Variación trimestral;2007;20;2007-03-31;4,0;17,6471
IPV910;Balears, Illes;Vivienda nueva;Variación trimestral;2007;19;2006-12-31;1,6;-60,0
IPV909;Balears, Illes;Vivienda nueva;Variación anual;2007;22;2007-09-30;11,0;587,5
IPV909;Balears, Illes;Vivienda nueva;Variación anual;2007;21;2007-06-30;12,1;10,0
IPV909;Balears, Illes;Vivienda nueva;Variación anual;2007;20;2007-03-31;12,4;2,4793
IPV909;Balears, Illes;Vivienda nueva;Variación anual;2007;19;2006-12-31;12,9;4,0323
IPV908;Balears, Illes;Vivienda nueva;Variación en lo que va de año;2007;22;2007-09-30;11,0;-14,7287
IPV908;Balears, Illes;Vivienda nueva;Variación en lo que va de año;2007;21;2007-06-30;9,2;-16,3636
IPV908;Balears, Illes;Vivienda nueva;Variación en lo que va de año;2007;20;2007-03-31;5,6;-39,1304
IPV908;Balears, Illes;Vivienda nueva;Variación en lo que va de año;2007;19;2006-12-31;1,6;-71,4286
IPV755;Balears, Illes;Vivienda segunda mano;Índice;2007;22;2007-09-30;153,28;9480,0
IPV755;Balears, Illes;Vivienda segunda mano;Índice;2007;21;2007-06-30;155,34;1,3439
IPV755;Balears, Illes;Vivienda segunda mano;Índice;2007;20;2007-03-31;153,65;-1,0879
IPV755;Balears, Illes;Vivienda segunda mano;Índice;2007;19;2006-12-31;148,9;-3,0914
IPV907;Balears, Illes;Vivienda segunda mano;Variación trimestral;2007;22;2007-09-30;-1,3;-100,8731
IPV907;Balears, Illes;Vivienda segunda mano;Variación trimestral;2007;21;2007-06-30;1,1;-184,6154
IPV907;Balears, Illes;Vivienda segunda mano;Variación trimestral;2007;20;2007-03-31;3,2;190,9091
IPV907;Balears, Illes;Vivienda segunda mano;Variación trimestral;2007;19;2006-12-31;2,2;-31,25
IPV906;Balears, Illes;Vivienda segunda mano;Variación anual;2007;22;2007-09-30;5,2;136,3636
IPV906;Balears, Illes;Vivienda segunda mano;Variación anual;2007;21;2007-06-30;9,1;75,0
IPV906;Balears, Illes;Vivienda segunda mano;Variación anual;2007;20;2007-03-31;10,1;10,989
IPV906;Balears, Illes;Vivienda segunda mano;Variación anual;2007;19;2006-12-31;13,9;37,6238
IPV905;Balears, Illes;Vivienda segunda mano;Variación en lo que va de año;2007;22;2007-09-30;5,2;-62,5899
IPV905;Balears, Illes;Vivienda segunda mano;Variación en lo que va de año;2007;21;2007-06-30;6,6;26,9231
IPV905;Balears, Illes;Vivienda segunda mano;Variación en lo que va de año;2007;20;2007-03-31;5,5;-16,6667
IPV905;Balears, Illes;Vivienda segunda mano;Variación en lo que va de año;2007;19;2006-12-31;2,2;-60,0
IPV754;Canarias;General;Índice;2007;22;2007-09-30;140,62;6291,8182
IPV754;Canarias;General;Índice;2007;21;2007-06-30;139,19;-1,0169
IPV754;Canarias;General;Índice;2007;20;2007-03-31;136,82;-1,7027
IPV754;Canarias;General;Índice;2007;19;2006-12-31;132,56;-3,1136
IPV904;Canarias;General;Variación trimestral;2007;22;2007-09-30;1,0;-99,2456
IPV904;Canarias;General;Variación trimestral;2007;21;2007-06-30;1,7;70,0
IPV904;Canarias;General;Variación trimestral;2007;20;2007-03-31;3,2;88,2353
IPV904;Canarias;General;Variación trimestral;2007;19;2006-12-31;2,4;-25,0
IPV903;Canarias;General;Variación anual;2007;22;2007-09-30;8,6;258,3333
IPV903;Canarias;General;Variación anual;2007;21;2007-06-30;11,6;34,8837
IPV903;Canarias;General;Variación anual;2007;20;2007-03-31;13,9;19,8276
IPV903;Canarias;General;Variación anual;2007;19;2006-12-31;14,6;5,036
IPV902;Canarias;General;Variación en lo que va de año;2007;22;2007-09-30;8,6;-41,0959
IPV902;Canarias;General;Variación en lo que va de año;2007;21;2007-06-30;7,5;-12,7907
IPV902;Canarias;General;Variación en lo que va de año;2007;20;2007-03-31;5,7;-24,0
IPV902;Canarias;General;Variación en lo que va de año;2007;19;2006-12-31;2,4;-57,8947
IPV753;Canarias;Vivienda nueva;Índice;2007;22;2007-09-30;129,26;5285,8333
IPV753;Canarias;Vivienda nueva;Índice;2007;21;2007-06-30;125,28;-3,0791
IPV753;Canarias;Vivienda nueva;Índice;2007;20;2007-03-31;121,88;-2,7139
IPV753;Canarias;Vivienda nueva;Índice;2007;19;2006-12-31;118,59;-2,6994
IPV901;Canarias;Vivienda nueva;Variación trimestral;2007;22;2007-09-30;3,2;-97,3016
IPV901;Canarias;Vivienda nueva;Variación trimestral;2007;21;2007-06-30;2,8;-12,5
IPV901;Canarias;Vivienda nueva;Variación trimestral;2007;20;2007-03-31;2,8;0,0
IPV901;Canarias;Vivienda nueva;Variación trimestral;2007;19;2006-12-31;2,6;-7,1429
IPV900;Canarias;Vivienda nueva;Variación anual;2007;22;2007-09-30;11,8;353,8462
IPV900;Canarias;Vivienda nueva;Variación anual;2007;21;2007-06-30;13,4;13,5593
IPV900;Canarias;Vivienda nueva;Variación anual;2007;20;2007-03-31;15,3;14,1791
IPV900;Canarias;Vivienda nueva;Variación anual;2007;19;2006-12-31;14,9;-2,6144
IPV899;Canarias;Vivienda nueva;Variación en lo que va de año;2007;22;2007-09-30;11,8;-20,8054
IPV899;Canarias;Vivienda nueva;Variación en lo que va de año;2007;21;2007-06-30;8,4;-28,8136
IPV899;Canarias;Vivienda nueva;Variación en lo que va de año;2007;20;2007-03-31;5,4;-35,7143
IPV899;Canarias;Vivienda nueva;Variación en lo que va de año;2007;19;2006-12-31;2,6;-51,8519
IPV752;Canarias;Vivienda segunda mano;Índice;2007;22;2007-09-30;150,58;5691,5385
IPV752;Canarias;Vivienda segunda mano;Índice;2007;21;2007-06-30;152,1;1,0094
IPV752;Canarias;Vivienda segunda mano;Índice;2007;20;2007-03-31;150,97;-0,7429
IPV752;Canarias;Vivienda segunda mano;Índice;2007;19;2006-12-31;145,71;-3,4841
IPV898;Canarias;Vivienda segunda mano;Variación trimestral;2007;22;2007-09-30;-1,0;-100,6863
IPV898;Canarias;Vivienda segunda mano;Variación trimestral;2007;21;2007-06-30;0,8;-180,0
IPV898;Canarias;Vivienda segunda mano;Variación trimestral;2007;20;2007-03-31;3,6;350,0
IPV898;Canarias;Vivienda segunda mano;Variación trimestral;2007;19;2006-12-31;2,3;-36,1111
IPV897;Canarias;Vivienda segunda mano;Variación anual;2007;22;2007-09-30;5,7;147,8261
IPV897;Canarias;Vivienda segunda mano;Variación anual;2007;21;2007-06-30;9,9;73,6842
IPV897;Canarias;Vivienda segunda mano;Variación anual;2007;20;2007-03-31;12,5;26,2626
IPV897;Canarias;Vivienda segunda mano;Variación anual;2007;19;2006-12-31;14,2;13,6
IPV896;Canarias;Vivienda segunda mano;Variación en lo que va de año;2007;22;2007-09-30;5,7;-59,8592
IPV896;Canarias;Vivienda segunda mano;Variación en lo que va de año;2007;21;2007-06-30;6,8;19,2982
IPV896;Canarias;Vivienda segunda mano;Variación en lo que va de año;2007;20;2007-03-31;6,0;-11,7647
